"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $0.9838/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x2bd63ca113b9508d38aeeb1f78038ba7089fcc27241c9697e12244fd46712f5f","37119327","1651120315","2022-04-28 04:31:55","0xd1275eb5d5ea553bb52f00cf8025f07b50a66329","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.018221225085","0.017926041238623","","","","Collect Collateral",""
"0x5ca21b16630fdaaa045fb344ec899cbf93e154d3f7f26a652c4c25be0bc98e6e","37119345","1651120333","2022-04-28 04:32:13","0xcff8097b146dc56f40bdf34e18e0283dd404765f","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0692891361828","0.0681666521766386","","","","Redeem Fractional DEI",""
"0xf14d17ebaca832ec30ae8fbbecd031a5f9ebb6b29d4e0bc5da6109a8eafb0bb0","37119356","1651120347","2022-04-28 04:32:27","0x1ee81a15108866b0aa70aa76445559c49a9556fc","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.097164","0.0955899432","","","","Redeem Fractional DEI",""
"0xb3142b021b237d7686edf3966809dfba90d5e7c3510855bc4d2a92590ac598ca","37119429","1651120446","2022-04-28 04:34:06","0x1ee81a15108866b0aa70aa76445559c49a9556fc","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.023451175","0.023071265965","","","","Collect Collateral",""
"0x2e5271edf06d75ab0123a6f3a36dccf78de5a568aeb3eae5e9e98b2302469892","37119442","1651120468","2022-04-28 04:34:28","0xcff8097b146dc56f40bdf34e18e0283dd404765f","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0228079893175","0.0224384998905565","","","","Collect Collateral",""
"0xb606fc62238ef5a996cb49892159fb71cb90a535898f854bc96b730f0c28e775","37119649","1651120928","2022-04-28 04:42:08","0x091c22b75c478726f6752fcca80d56e612c11d53","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","1.01223","0.995831874","","","","Redeem Fractional DEI",""
"0x418ad1bf521d1cad14017b557e61d0ba8410589228ed3461e087382deb426eb5","37119696","1651121003","2022-04-28 04:43:23","0x41c6beb49d2d471c1f6889c800c6ae92c6d1abb3","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.109254235266","0.107484316654691","","","","Redeem Fractional DEI",""
"0x789728fe8ee2a2b5268d5fc92a558de4e0c4e2de31b3ea58b4bb6468ba4f256a","37119703","1651121014","2022-04-28 04:43:34","0x091c22b75c478726f6752fcca80d56e612c11d53","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.072823475","0.071643734705","","","","Collect Collateral",""
"0x4fc8585c4e23a4f8fc33d56b4f40396b45047afde845725edbebab02f6d7eb5c","37119718","1651121060","2022-04-28 04:44:20","0x41c6beb49d2d471c1f6889c800c6ae92c6d1abb3","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.038932907475","0.038302194373905","","","","Collect Collateral",""
"0x44533379f49bdfb4f006e21cf126260ce7f5a36966b63cbe0a5963e6dadafb12","37120226","1651122069","2022-04-28 05:01:09","0x41c6beb49d2d471c1f6889c800c6ae92c6d1abb3","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.54882","0.539929116","","","","Redeem Fractional DEI",""
